names,membership_1,membership_2,membership_3,membership_4,membership_5,membership_6
IND.14.20.1_1,15,24,13,3,4,7
IND.14.21.1_1,15,24,13,3,4,7
IND.14.22.1_1,16,3,13,7,7,7
IND.14.3.1_1,15,24,13,3,4,7
IND.14.4.1_1,15,24,13,3,4,7
IND.14.5.1_1,16,3,13,3,7,7
IND.14.6.1_1,15,24,13,3,4,7
IND.14.6.2_1,15,24,13,3,4,7
IND.14.7.1_1,16,3,13,7,7,7
IND.14.8.1_1,15,,,,4,7
IND.14.9.1_1,16,3,12,7,7,6
IND.15.1.1_1,4,10,26,17,12,11
IND.15.1.2_1,4,10,26,17,12,11
IND.15.10.1_1,4,10,26,17,12,11
IND.15.11.1_1,4,11,26,17,12,14
IND.15.12.1_1,4,10,26,17,12,11
IND.15.13.1_1,4,10,26,17,12,11
IND.15.14.1_1,12,10,26,17,12,11
IND.15.15.1_1,4,10,26,17,12,11
IND.15.16.1_1,4,11,26,15,12,14
IND.15.17.1_1,12,10,25,17,12,11
IND.15.18.1_1,11,12,29,20,14,28
IND.15.18.2_1,11,12,31,20,14,28
IND.15.19.1_1,11,12,29,20,14,28
IND.15.2.1_1,4,10,26,17,12,11
IND.15.20.1_1,4,10,26,17,12,11
IND.15.21.1_1,4,10,26,17,12,11
IND.15.21.2_1,4,10,26,17,12,11
IND.15.22.1_1,4,10,26,17,11,11
IND.15.23.1_1,11,12,29,20,14,28
IND.15.24.1_1,4,10,31,20,12,28
IND.15.3.1_1,4,11,26,17,11,11
IND.15.4.1_1,4,10,26,17,12,11
IND.15.4.2_1,4,10,26,17,12,11
IND.15.5.1_1,4,11,26,17,11,11
IND.15.6.1_1,12,10,25,17,12,11
IND.15.7.1_1,4,10,26,17,12,11
IND.15.8.1_1,12,10,26,17,11,11
IND.15.9.1_1,4,10,26,17,12,11
IND.16.1.1_1,10,19,48,33,22,23
IND.16.1.2_1,10,19,48,33,22,23
IND.16.1.3_1,10,19,48,33,22,23
IND.16.1.4_1,10,19,48,33,22,23
IND.16.1.5_1,10,19,45,33,22,23
IND.16.1.6_1,10,19,45,33,22,23
IND.16.10.1_1,10,16,43,30,20,20
IND.16.10.2_1,10,19,43,30,20,20
IND.16.10.3_1,10,16,43,30,20,23
IND.16.10.4_1,10,16,43,30,20,20
IND.16.10.5_1,10,16,43,30,20,23
IND.16.10.6_1,10,16,43,30,20,23
IND.16.10.7_1,10,19,43,33,22,23
IND.16.11.1_1,10,19,48,33,22,23
IND.16.11.2_1,10,19,48,33,22,23
IND.16.11.3_1,10,19,48,33,22,23
IND.16.11.4_1,10,19,48,33,22,23
IND.16.11.5_1,10,19,48,33,22,23
IND.16.11.6_1,10,17,48,33,21,21
IND.16.12.1_1,21,13,38,30,17,18
IND.16.12.2_1,21,13,38,30,17,18
IND.16.12.3_1,21,13,38,30,17,18
IND.16.12.4_1,21,13,38,30,17,18
IND.16.12.5_1,21,13,43,30,17,18
IND.16.13.1_1,10,19,43,33,22,23
IND.16.13.2_1,10,19,43,33,22,23
IND.16.13.3_1,10,19,48,33,22,23
IND.16.13.4_1,10,19,48,33,22,23
IND.16.13.5_1,10,19,48,33,22,23
IND.16.13.6_1,10,19,43,33,22,23
IND.16.13.7_1,10,19,48,33,22,23
IND.16.14.1_1,10,19,45,33,22,23
IND.16.14.2_1,10,19,45,33,22,23
IND.16.14.3_1,10,19,45,33,22,23
IND.16.14.4_1,10,19,45,33,22,23
IND.16.14.5_1,10,19,45,33,22,23
IND.16.14.6_1,10,19,45,33,22,23
IND.16.15.1_1,10,19,45,33,22,23
IND.16.15.2_1,10,19,45,33,22,23
IND.16.15.3_1,10,19,48,33,22,23
IND.16.15.4_1,10,19,48,33,22,23
IND.16.15.5_1,10,19,45,33,22,23
IND.16.16.1_1,10,17,48,33,23,24
IND.16.16.2_1,10,17,48,33,23,24
IND.16.16.3_1,10,17,48,34,23,25
IND.16.16.4_1,10,17,48,33,23,24
IND.16.16.5_1,10,17,48,33,23,24
IND.16.16.6_1,10,17,48,33,23,24
IND.16.16.7_1,10,17,48,33,23,24
IND.16.17.1_1,10,16,43,30,20,20
IND.16.17.2_1,10,16,43,30,20,20
IND.16.17.3_1,10,16,43,30,20,20
IND.16.17.4_1,10,16,43,30,20,20
IND.16.17.5_1,10,16,43,30,20,20
IND.16.17.6_1,10,16,43,30,20,20
IND.16.17.7_1,10,16,43,30,20,20
IND.16.17.8_1,10,16,43,30,20,20
IND.16.18.1_1,10,19,48,33,22,23
IND.16.18.2_1,10,19,48,33,22,23
IND.16.18.3_1,10,19,48,33,22,23
IND.16.18.4_1,10,19,48,33,22,23
IND.16.18.5_1,10,19,48,33,22,23
IND.16.18.6_1,10,19,48,33,22,23
IND.16.18.7_1,10,19,48,33,22,23
IND.16.19.1_1,21,16,43,30,20,20
IND.16.19.2_1,21,16,43,30,20,20
IND.16.19.3_1,21,16,43,30,20,20
IND.16.2.1_1,5,16,42,28,20,20
IND.16.2.2_1,5,16,42,28,20,20
IND.16.2.3_1,5,16,42,28,20,20
IND.16.2.4_1,5,16,42,28,20,20
IND.16.20.1_1,5,16,42,28,20,20
IND.16.20.2_1,5,16,42,28,20,20
IND.16.20.3_1,5,16,42,28,20,20
IND.16.20.4_1,5,16,42,28,20,20
IND.16.20.5_1,5,16,42,28,20,20
IND.16.21.1_1,10,17,48,33,21,21
IND.16.21.2_1,10,17,48,33,21,21
IND.16.21.3_1,10,17,48,33,21,23
IND.16.21.4_1,10,17,48,33,21,21
IND.16.22.1_1,10,16,43,30,20,20
IND.16.22.2_1,5,16,43,30,20,20
IND.16.22.3_1,5,16,43,30,20,20
IND.16.22.4_1,5,16,43,30,20,20
IND.16.22.5_1,10,16,43,30,20,20
IND.16.22.6_1,5,16,43,30,20,20
IND.16.22.7_1,5,16,43,30,20,20
IND.16.23.1_1,5,16,43,30,20,18
IND.16.23.2_1,5,16,43,30,20,20
IND.16.23.3_1,5,16,43,30,20,20
IND.16.23.4_1,5,16,43,30,20,20
IND.16.23.5_1,5,16,43,30,20,20
IND.16.23.6_1,21,16,43,30,20,20
IND.16.23.7_1,5,16,43,30,20,20
IND.16.24.1_1,10,17,48,33,21,21
IND.16.24.2_1,10,17,48,33,21,21
IND.16.24.3_1,10,17,48,33,21,21
IND.16.24.4_1,10,17,48,33,21,21
IND.16.24.5_1,10,17,48,33,21,21
IND.16.25.1_1,5,16,42,28,20,20
IND.16.25.2_1,5,16,42,28,20,20
IND.16.25.3_1,5,16,42,28,20,20
IND.16.25.4_1,5,16,42,28,20,20
IND.16.26.1_1,10,19,43,33,22,23
IND.16.26.2_1,10,19,43,33,22,23
IND.16.26.3_1,10,19,43,33,22,23
IND.16.26.4_1,10,19,43,33,22,23
IND.16.26.5_1,10,19,43,33,22,23
IND.16.26.6_1,10,19,43,33,22,23
IND.16.27.1_1,10,16,43,30,20,20
IND.16.27.10_1,10,16,43,30,20,20
IND.16.27.2_1,5,16,42,28,20,20
IND.16.27.3_1,5,16,42,28,20,20
IND.16.27.4_1,5,16,42,28,20,20
IND.16.27.5_1,5,16,42,28,20,20
IND.16.27.6_1,10,17,42,29,21,21
IND.16.27.7_1,5,16,42,28,20,20
IND.16.27.8_1,10,16,43,30,20,20
IND.16.27.9_1,5,16,42,28,20,20
IND.16.28.1_1,21,13,38,30,17,18
IND.16.28.2_1,21,13,38,30,17,18
IND.16.28.3_1,21,13,38,30,17,18
IND.16.29.1_1,2,19,44,31,22,22
IND.16.29.10_1,10,19,45,33,22,23
IND.16.29.11_1,10,19,43,33,22,23
IND.16.29.2_1,2,13,38,30,17,18
IND.16.29.3_1,10,19,45,33,22,23
IND.16.29.4_1,2,19,44,31,22,22
IND.16.29.5_1,2,19,44,31,22,22
IND.16.29.6_1,2,19,44,31,22,22
IND.16.29.7_1,10,19,48,33,22,23
IND.16.29.8_1,10,19,43,33,22,23
IND.16.29.9_1,10,19,43,33,22,23
IND.16.3.1_1,5,16,42,28,20,20
IND.16.3.2_1,5,16,42,28,20,20
IND.16.3.3_1,5,16,42,28,20,20
IND.16.30.1_1,10,17,48,33,23,24
IND.16.30.2_1,10,17,48,33,23,24
IND.16.30.3_1,10,17,48,33,23,24
IND.16.4.1_1,10,18,45,33,23,23
IND.16.4.10_1,10,19,45,33,22,23
IND.16.4.2_1,10,19,45,33,22,23
IND.16.4.3_1,10,19,45,33,22,23
IND.16.4.4_1,10,18,45,33,23,23
IND.16.4.5_1,10,19,45,33,22,23
IND.16.4.6_1,10,19,45,33,22,23
IND.16.4.7_1,10,19,45,33,22,23
IND.16.4.8_1,10,19,45,33,22,23
IND.16.4.9_1,10,18,45,33,23,23
IND.16.5.1_1,10,17,48,33,21,21
IND.16.5.2_1,10,17,48,33,21,21
